,Label_Code,Job_Profession
0,0,Biên tập viên
1,1,Biên tập viên âm thanh
2,2,Bác sĩ
3,3,Bác sĩ thú y
4,4,Chuyên gia thính học
5,5,Chuyên gia tính toán bảo hiểm
6,6,Chuyên viên phân tích kinh doanh
7,7,Chuyên viên phân tích máy tính
8,8,Chuyên viên phân tích nghiên cứu
9,9,Chính trị gia
10,10,"Công an, Cảnh sát, Quân đội"
11,11,Cố vấn
12,12,Cố vấn tài chính
13,13,Diễn viên
14,14,Dược sĩ
15,15,Giám đốc tài chính
16,16,Giáo viên mầm non
17,17,Giáo viên ngôn ngữ
18,18,Giáo viên tiểu học
19,19,"Giáo viên trung học, giáo viên trung học phổ thông và giảng viên đại học"
20,20,Giáo viên âm nhạc
21,21,Kiểm toán viên nội bộ
22,22,Kế toán công chứng
23,23,Kỹ sư
24,24,Kỹ sư thu âm
25,25,Kỹ thuật viên
26,26,Luật sư
27,27,Lập trình viên máy tính
28,28,Môi giới chứng khoán
29,29,Nghệ sĩ
30,30,Ngành y
31,31,Ngân hàng
32,32,Nhiếp ảnh gia thiên nhiên
33,33,Nhà báo
34,34,Nhà khảo cổ học
35,35,Nhà kinh tế học
36,36,Nhà lãnh đạo
37,37,Nhà nhân chủng học
38,38,Nhà sinh vật học biển
39,39,Nhà sử học
40,40,Nhà thiên văn học
41,41,Nhà thiết kế cơ sở dữ liệu
42,42,Nhà thiết kế thời trang
43,43,Nhà thiết kế đồ họa
44,44,Nhà thơ
45,45,Nhà toán học
46,46,Nhà trang trí nội thất
47,47,Nhà triết học
48,48,Nhà trị liệu vật lý
49,49,Nhà tâm lý học
50,50,Nhà tội phạm học
51,51,Nhà văn
52,52,Nhà vật lý học
53,53,Nhà địa chất học
54,54,Nhân viên công tác xã hội
55,55,Nhân viên lễ tân
56,56,Phi công
57,57,Phát thanh viên
58,58,Quản lý
59,59,Quản lý kinh doanh
60,60,Quản lý logistics
61,61,Thư ký công ty
62,62,Thợ cơ khí
63,63,Thủ thư
64,64,Tiếp thị
65,65,Tư vấn viên
66,66,Vận động viên
67,67,"Y tá, điều dưỡng"
68,68,Đại diện kinh doanh
